model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
mit_resnet18_ade20k,images/0G0172115.jpg,0,4000,3000,600,800,8023000,7430,2575605,1393965,43210,8657,3618,3657,38995,15140,0.851301330218014,0.002876461217134108,0.000925230653900227,0.08373061791252025,0.4224327134111124,0.13975944100051632,0.38825490447493266,41.559391021728516,2688.874288000079
mit_resnet18_ade20k,images/0G0172141.jpg,0,4000,3000,600,800,6156354,10567,2845950,2987129,27793,10335,5063,5123,48714,15760,0.6725278974879971,0.0036992603229737474,0.0017134968973982316,0.18216817184183068,0.49569424286405417,0.2664249029185221,0.3235209590672086,242.099609375,2777.2097249999206
mit_resnet18_ade20k,images/0G0182202.jpg,0,4000,3000,600,800,7491003,33037,2413574,2062386,36258,9514,2223,2130,45104,19477,0.7814177045751983,0.01350316826009529,0.004390859166086305,0.06131060731424789,0.22388059701492538,0.09626001896621156,0.4318242284498049,41.38060760498047,2628.205922000234
mit_resnet18_ade20k,images/1G0011591.jpg,1,4000,3000,600,800,3408597,60753,4273463,4257187,32984,14089,1932,1973,66614,31027,0.44115455604496556,0.014017067908013815,0.017511349388213932,0.05857385398981324,0.14003832777344027,0.08259900768580862,0.4657729606389047,120.58258819580078,2777.2937650006497
mit_resnet18_ade20k,images/1G0011615.jpg,1,4000,3000,600,800,4025235,182151,4226332,3566282,30591,13996,2264,2374,67277,31041,0.5178038218251667,0.041318294751278385,0.04329315161480311,0.07400869536791867,0.16961989139754216,0.10305315182791046,0.46139096570893473,133.12208557128906,2875.9101050000027
mit_resnet18_ade20k,images/1G0031685.jpg,1,4000,3000,600,800,4466826,51935,2749278,4731961,24248,12759,2887,2920,61693,27127,0.4828624187387752,0.018540182413832866,0.01149319470536282,0.11906136588584626,0.22885806097656555,0.1566348483589089,0.4397095294441833,168.36729431152344,2806.9176629996946
mit_resnet18_ade20k,images/1G0031718.jpg,1,4000,3000,600,800,4816889,32030,3446779,3704302,43578,9480,3250,3167,43790,17232,0.5631666713627533,0.009207174064457117,0.006605596010162265,0.07457891596677223,0.33407172995780593,0.12193646442930506,0.39351450102763186,169.1946258544922,2893.3787559999473
mit_resnet18_ade20k,images/1G0041734.jpg,1,4000,3000,600,800,2473718,35231,3260344,6230707,30265,9760,2144,2155,46023,20348,0.28304523656308667,0.010690395454510972,0.014042134774361694,0.07084090533619693,0.22079918032786885,0.10726655628495245,0.4421267627056037,41.61734390258789,2464.2464910002673
mit_resnet18_ade20k,images/1G0041785.jpg,1,4000,3000,600,800,7646273,9309,2807070,1537348,44587,9266,984,977,42732,19797,0.831755816698267,0.003305307985892524,0.0012159754803749735,0.02206921299930473,0.1054392402331103,0.036498929948556774,0.4632827857343443,175.99859619140625,2827.4794369999654
mit_resnet18_ade20k,images/1G0051812.jpg,1,4000,3000,600,800,1646761,20027,3286919,7046293,17888,8531,1455,1566,39581,17818,0.18899870206646766,0.006056040830421785,0.012015325284319301,0.08133944543828264,0.18356581877857225,0.11272816299075529,0.4501654834390238,40.709598541259766,2464.9559330000557
